FlareClass,Flare Date,AR,TOTUSJH,TOTBSQ,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,TOTFZ,MEANPOT,R_VALUE,EPSZ,SHRGT45
C15,6/11/2012 0:10,11507,1314.13,43939000000,1.22E+23,3.35146E+13,140.114,7.43802E+12,2.28E+22,719.851,-5993.2,2143.97,4.413,-0.2587,12.12
C14,6/12/2012 0:10,11507,1709.46,50077000000,1.57E+23,4.23769E+13,201.876,1.07155E+13,2.31E+22,1067.71,-5314.1,2623.63,4.917,-0.2013,19.866
C14,6/25/2012 0:10,11512,497.931,14139000000,4.30E+22,1.19451E+13,0.356,1.48231E+12,7.75E+21,220.401,-1161.9,2365.67,3.48,-0.1559,10.347
C32,6/27/2012 0:10,11512,1504.52,23001000000,2.78E+23,3.36826E+13,314.604,1.06885E+13,1.74E+22,786.651,-1065,6761.89,4.465,-0.0878,38.868
C42,6/28/2012 0:10,11512,1491.94,24646000000,3.70E+23,3.2257E+13,429.715,1.75471E+13,1.63E+22,831.966,-107.54,9714.78,4.364,-0.0083,43.674
C11,6/29/2012 0:10,11512,1237.97,23283000000,3.36E+23,2.88749E+13,204.119,9.48755E+12,1.51E+22,795.885,-27.308,9358.68,4.227,-0.0022,42.902
C50,7/27/2012 0:10,11528,461.261,9525400000,6.65E+22,1.23371E+13,47.76,3.20205E+12,6.95E+21,367.345,-308.25,3610.25,2.898,-0.0614,21.932
C23,8/1/2012 0:10,11535,1298.56,23562000000,2.48E+23,2.81798E+13,205.789,6.44811E+12,2.13E+22,529.046,-3187,5302.05,4.16,-0.2566,24.11
C30,8/3/2012 0:10,11535,781.49,14244000000,1.60E+23,1.9722E+13,67.425,3.77854E+12,1.19E+22,576.675,-661.21,5299.81,3.272,-0.0881,28.548
C13,8/4/2012 0:10,11535,732.346,13427000000,1.58E+23,1.83011E+13,147.929,6.72086E+12,9.71E+21,626.064,-302.26,6184.94,3.449,-0.0427,34.44
C32,8/9/2012 0:10,11538,3127.75,58376000000,4.02E+23,7.38933E+13,12.577,2.44104E+12,4.18E+22,2155.32,-2639.5,4043.81,4.169,-0.0858,22.573
C19,8/8/2012 0:10,11542,1890.04,31588000000,3.17E+23,3.67323E+13,609.583,2.52913E+13,3.34E+22,724.095,-6363.7,4672.63,4.338,-0.3821,15.983
C14,8/9/2012 0:10,11542,1674.77,26395000000,2.83E+23,3.63244E+13,501.394,2.65067E+13,2.81E+22,675.345,-4513.9,4675.64,4.486,-0.3244,19.585
C14,8/10/2012 0:10,11542,1662.27,20937000000,2.48E+23,3.84649E+13,664.955,4.09945E+13,2.29E+22,783.542,-2637.8,4505.79,4.463,-0.239,23.09
C20,8/11/2012 0:10,11542,1216.36,15362000000,1.63E+23,2.84502E+13,383.073,2.0782E+13,1.58E+22,749.008,-1530.4,4031.89,4.222,-0.189,21.573
C16,8/14/2012 0:10,11542,732.544,9965300000,5.71E+22,1.80413E+13,71.515,4.4903E+12,9.99E+21,679.074,-1033.7,2402.68,2.891,-0.1968,13.19
