Flare Class,TOTUSJH,TOTBSQ,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,TOTFZ,MEANPOT,R_VALUE,EPSZ,SHRGT45
C,1927.01,41230000000,1.77759e+23,37453400000000,413.183,20323700000000,2.56471e+22,1206.35,-5269.5,3453.12,4.328,-0.2424,10.949
C,570.116,9310400000,5.0678e+22,11329200000000,99.181,3769540000000,7.26501e+21,310.465,-902.89,3374.29,3.761,-0.184,13.335
C,2450.05,40514000000,5.47276e+23,49593800000000,457.301,18384300000000,2.95179e+22,1308.59,-3174.3,8512.35,4.543,-0.1486,34.236
C,1373.19,20201000000,1.44734e+23,29657200000000,61.353,4056450000000,1.90742e+22,910.921,-3017.9,3479.54,4.165,-0.2834,12.321
C,793.791,16534000000,2.23321e+23,17220100000000,49.497,3066360000000,1.14008e+22,640.995,-856.75,9187.44,3.518,-0.0983,43.091
C,462.022,7656500000,9.49154e+22,11083200000000,30.376,1506630000000,6.23921e+21,308.868,-473.4,6334.31,3.27,-0.1173,38.252
C,576.309,10841000000,1.13128e+23,13878200000000,111.115,2760220000000,7.17257e+21,454.442,-24.748,6191.15,3.274,-0.0043,35.17
C,1032.78,16854000000,1.66596e+23,22497800000000,17.513,2394270000000,1.66439e+22,492.364,-2954.5,4555.5,3.601,-0.3325,24.044
C,1401.35,13959000000,1.3258e+23,33528300000000,65.605,3676170000000,1.54821e+22,933.343,-1902.1,3357.82,4.142,-0.2585,22.142
C,1519.6,29236000000,1.01968e+23,33401000000000,7.371,10801100000000,2.61668e+22,1408.37,-4431.8,1839.99,2.189,-0.2875,3.489
C,1372.47,32523000000,2.15757e+23,29819000000000,95.932,4110850000000,3.34545e+22,821.698,-7171.8,3060.93,3.713,-0.4183,8.959
C,791.697,12476000000,1.57723e+23,15697500000000,47.155,2166850000000,9.94358e+21,397.869,-1269.0,7916.0,3.82,-0.1929,39.839
C,2136.94,30539000000,3.86096e+23,48850900000000,391.346,21528900000000,2.51654e+22,1320.98,-2371.6,6468.9,4.246,-0.1473,32.319
